App,Category,Rating,Reviews,Size(Megabyte),Installs+,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
Mcqueen Coloring pages,1,,4.127134385045092,2.0794415416798357,100000,1,0.0,1,10,2018-03-07,1.0.0,17
Wrinkles and rejuvenation,3,,5.209486152841421,1.9021075263969205,100000,1,0.0,2,14,2017-09-20,8.0,10
Manicure - nail design,3,,4.787491742782046,1.547562508716013,50000,1,0.0,1,14,2018-07-23,1.3,17
Skin Care and Natural Beauty,3,,6.484635235635252,2.128231705849268,100000,1,0.0,4,14,2018-07-17,1.15,17
"Secrets of beauty, youth and health",3,,4.356708826689592,1.3609765531356006,10000,1,0.0,3,14,2017-08-08,2.0,8
Recipes and tips for losing weight,3,,3.58351893845611,1.410986973710262,10000,1,0.0,2,14,2017-12-11,2.0,10
"Lady adviser (beauty, health)",3,,3.4339872044851463,2.388762789235098,10000,1,0.0,3,14,2018-01-24,3.0,10
Anonymous caller detection,4,,5.087596335232384,1.308332819650179,10000,1,0.0,1,19,2018-07-13,1.0,8
SH-02J Owner's Manual (Android 8.0),4,,1.0986122886681096,2.1041341542702074,50000,1,0.0,1,19,2018-06-15,3.0,27
URBANO V 02 instruction manual,4,,4.74493212836325,2.1162555148025524,100000,1,0.0,1,19,2015-08-07,1.1,26
Y! Mobile menu,5,,2.302585092994046,0.7884573603642702,100000,1,0.0,1,22,2018-04-09,1.0.5,27
ãRanobbe complete freeã Novelba - Free app that you can read and write novels,6,,7.193685818395112,3.1354942159291497,50000,1,0.0,1,34,2018-07-03,6.1.1,18
Truth or Dare Pro,8,,0.0,3.044522437723423,50,2,1.49,4,38,2017-09-01,1.0,13
"Private Dating, Hide App- Blue for PrivacyHider",8,,0.0,0.017425416713859134,100,2,2.99,1,38,2017-07-25,1.0.1,13
Ad Blocker for SayHi,8,,1.6094379124341003,0.7884573603642702,100,2,3.99,4,38,2018-08-02,1.2,15
Random Video Chat,8,,1.3862943611198906,2.833213344056216,1000,1,0.0,3,38,2018-07-15,4.20,15
Random Video Chat App With Strangers,8,,1.3862943611198906,1.7578579175523736,1000,1,0.0,3,38,2018-07-17,1.,13
Meet With Strangers: Video Chat & Dating,8,,1.0986122886681096,1.547562508716013,500,1,0.0,3,38,2018-07-16,1.,13
Ost. Zombies Cast - New Music and Lyrics,8,,0.6931471805599453,1.7227665977411035,100,1,0.0,4,38,2018-07-20,1.0,15
Dating White Girls,8,,0.0,1.5260563034950494,50,1,0.0,3,38,2018-07-20,1.0,13
Geeks Dating,8,,0.0,2.639057329615259,50,1,0.0,3,38,2018-07-10,1.0,17
Live chat - free video chat,8,,0.6931471805599453,2.272125885509337,500,1,0.0,3,38,2018-07-23,3.52,15
Fishing Brain & Boating Maps Marine,8,,1.3862943611198906,2.066862759472976,500,1,0.0,1,38,2018-07-23,1.0,15
CAM5678 Video Chat,8,,0.0,3.6888794541139363,500,1,0.0,3,38,2018-07-13,5.5.8,15
Video chat live advices,8,,0.0,2.1972245773362196,100,1,0.0,1,38,2018-07-10,1.0,10
chat live chat,8,,3.2188758248682006,1.589235205116581,1000,1,0.0,3,38,2018-07-26,1.0,13
Pet Lovers Dating,8,,0.0,2.70805020110221,10,1,0.0,3,38,2018-07-09,1.0,17
Friend Find: free chat + flirt dating app,8,,3.1780538303479458,2.4849066497880004,100,1,0.0,3,38,2018-07-31,1.0,20
Latin Dating,8,,0.0,2.639057329615259,10,1,0.0,3,38,2018-07-09,1.0,17
Wifi Mingle,8,,0.0,2.3978952727983707,10,1,0.0,1,38,2018-07-27,1.3,20
Soy Luna - Top Music And Lyrics,8,,0.6931471805599453,1.791759469228055,100,1,0.0,4,38,2018-07-24,1.0,15
