App,Category,Rating,Reviews,Size(Megabyte),Installs+,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
Mcqueen Coloring pages,1,1.6197164477367807,4.127134385045092,2.0794415416798357,100000,1,0.0,1,10,2018-03-07,1.0.0,17
Wrinkles and rejuvenation,3,1.6221995887045435,5.209486152841421,1.9021075263969205,100000,1,0.0,2,14,2017-09-20,8.0,10
Manicure - nail design,3,1.6235770326772103,4.787491742782046,1.547562508716013,50000,1,0.0,1,14,2018-07-23,1.3,17
Skin Care and Natural Beauty,3,1.630202699849637,6.484635235635252,2.128231705849268,100000,1,0.0,4,14,2018-07-17,1.15,17
"Secrets of beauty, youth and health",3,1.6130938959919565,4.356708826689592,1.3609765531356006,10000,1,0.0,3,14,2017-08-08,2.0,8
Recipes and tips for losing weight,3,1.6100996623739796,3.58351893845611,1.410986973710262,10000,1,0.0,2,14,2017-12-11,2.0,10
"Lady adviser (beauty, health)",3,1.6070968358034992,3.4339872044851463,2.388762789235098,10000,1,0.0,3,14,2018-01-24,3.0,10
Anonymous caller detection,4,1.6216291670258238,5.087596335232384,1.308332819650179,10000,1,0.0,1,19,2018-07-13,1.0,8
SH-02J Owner's Manual (Android 8.0),4,1.5990465391226123,1.0986122886681096,2.1041341542702074,50000,1,0.0,1,19,2018-06-15,3.0,27
URBANO V 02 instruction manual,4,1.625702667748377,4.74493212836325,2.1162555148025524,100000,1,0.0,1,19,2015-08-07,1.1,26
Y! Mobile menu,5,1.6071989247236167,2.302585092994046,0.7884573603642702,100000,1,0.0,1,22,2018-04-09,1.0.5,27
ãRanobbe complete freeã Novelba - Free app that you can read and write novels,6,1.6386366653748927,7.193685818395112,3.1354942159291497,50000,1,0.0,1,34,2018-07-03,6.1.1,18
Truth or Dare Pro,8,1.6133666288229882,0.0,3.044522437723423,50,2,1.49,4,38,2017-09-01,1.0,13
"Private Dating, Hide App- Blue for PrivacyHider",8,1.618724340352213,0.0,0.017425416713859134,100,2,2.99,1,38,2017-07-25,1.0.1,13
Ad Blocker for SayHi,8,1.6252377566242802,1.6094379124341003,0.7884573603642702,100,2,3.99,4,38,2018-08-02,1.2,15
Random Video Chat,8,1.5895003219742332,1.3862943611198906,2.833213344056216,1000,1,0.0,3,38,2018-07-15,4.20,15
Random Video Chat App With Strangers,8,1.588654662046704,1.3862943611198906,1.7578579175523736,1000,1,0.0,3,38,2018-07-17,1.,13
Meet With Strangers: Video Chat & Dating,8,1.5864993700099521,1.0986122886681096,1.547562508716013,500,1,0.0,3,38,2018-07-16,1.,13
Ost. Zombies Cast - New Music and Lyrics,8,1.5822351612677905,0.6931471805599453,1.7227665977411035,100,1,0.0,4,38,2018-07-20,1.0,15
Dating White Girls,8,1.5783562371408775,0.0,1.5260563034950494,50,1,0.0,3,38,2018-07-20,1.0,13
Geeks Dating,8,1.5799311904955866,0.0,2.639057329615259,50,1,0.0,3,38,2018-07-10,1.0,17
Live chat - free video chat,8,1.5843011882672777,0.6931471805599453,2.272125885509337,500,1,0.0,3,38,2018-07-23,3.52,15
Fishing Brain & Boating Maps Marine,8,1.5934232831666377,1.3862943611198906,2.066862759472976,500,1,0.0,1,38,2018-07-23,1.0,15
CAM5678 Video Chat,8,1.5793238253267048,0.0,3.6888794541139363,500,1,0.0,3,38,2018-07-13,5.5.8,15
Video chat live advices,8,1.5813527686619848,0.0,2.1972245773362196,100,1,0.0,1,38,2018-07-10,1.0,10
chat live chat,8,1.6022152186352772,3.2188758248682006,1.589235205116581,1000,1,0.0,3,38,2018-07-26,1.0,13
Pet Lovers Dating,8,1.579938928803151,0.0,2.70805020110221,10,1,0.0,3,38,2018-07-09,1.0,17
Friend Find: free chat + flirt dating app,8,1.6045509531914632,3.1780538303479458,2.4849066497880004,100,1,0.0,3,38,2018-07-31,1.0,20
Latin Dating,8,1.5799311920941057,0.0,2.639057329615259,10,1,0.0,3,38,2018-07-09,1.0,17
Wifi Mingle,8,1.5850006346913013,0.0,2.3978952727983707,10,1,0.0,1,38,2018-07-27,1.3,20
Soy Luna - Top Music And Lyrics,8,1.5822428979768357,0.6931471805599453,1.791759469228055,100,1,0.0,4,38,2018-07-24,1.0,15
When Will You Get Married,8,1.5912309279474954,1.0986122886681096,1.5260563034950494,10,1,0.0,1,38,2018-07-14,1.0,15
HOW TO ASK A GIRL OUT,8,1.5832549949883936,0.0,2.995732273553991,10,1,0.0,1,38,2018-07-16,1.0,15
The DJ - Match with People,8,1.5799020894802183,0.0,2.379546134130174,50,1,0.0,3,38,2018-08-02,1.2,17
Toronto Dating,8,1.579938925206483,0.0,2.70805020110221,100,1,0.0,3,38,2018-07-12,1.0,17
i miss you quotes and photos,8,1.5823949085939937,0.0,1.791759469228055,100,1,0.0,1,38,2018-07-22,1.0.7,13
JoJo Siwa Top Hits Music,8,1.5771047822867406,0.0,1.7749523509116738,10,1,0.0,4,38,2018-07-26,1.0,15
Chat Click - Dating Search,8,1.5891993511586917,1.6094379124341003,1.5686159179138452,500,1,0.0,3,38,2018-07-11,1.0,10
Iraq love chat,8,1.5971733719533476,2.70805020110221,1.791759469228055,50,1,0.0,4,38,2018-08-03,8.2,15
Healthy Relationships Guide,8,1.5831679171154818,0.0,2.2192034840549946,1,1,0.0,1,38,2018-07-31,2.0,15
following,8,1.5854806472525689,0.6931471805599453,3.091042453358316,10,1,0.0,3,38,2018-07-24,1.0.3,18
Gods by Night,8,1.6144087821879434,4.653960350157523,2.5649493574615367,1000,1,0.0,3,38,2018-07-22,3.5.4.2.3,17
PlusOne,8,1.5802666850366742,0.0,2.3978952727983707,1,1,0.0,3,38,2018-07-17,1.1.1,18
Love Calendar - Couple Sharing Calendar & CoupleDay,8,1.6038744029222363,2.70805020110221,1.4586150226995167,50,1,0.0,1,38,2018-07-30,1.6,17
Soul Mate,8,1.579099291144274,0.0,1.6863989535702286,10,1,0.0,3,38,2018-07-19,4.5.0,15
Diamond Engagement Rings,8,1.5823626523548506,0.0,1.5040773967762742,5,1,0.0,1,38,2018-07-12,6.1,13
Dating Tips For Men,8,1.5831629320328118,0.0,2.174751721484161,10,1,0.0,1,38,2018-07-09,3.0,15
Random Video Chat,8,1.5895003219742332,1.3862943611198906,2.833213344056216,1000,1,0.0,3,38,2018-07-15,4.20,15
Find Lover,8,1.6020100014178695,3.091042453358316,1.7404661748405044,1000,1,0.0,3,38,2018-07-27,1.0.2,15
Random Video Chat App With Strangers,8,1.588654662046704,1.3862943611198906,1.7578579175523736,1000,1,0.0,3,38,2018-07-17,1.,13
"Chat Mexico: meet people, flirt and friendship",8,1.595452982535824,2.1972245773362196,2.33214389523559,5000,1,0.0,3,38,2018-07-02,3.7,15
Ai La Trieu Phu - ALTP Free,9,1.6315124081701506,6.655440350367647,3.2188758248682006,100000,1,0.0,1,39,2018-07-23,1.5,13
VAN NIAN 2018 - Vietnamese Calendar,11,1.6060229425331203,3.6375861597263857,2.833213344056216,10000,1,0.0,1,59,2017-11-27,1.0,13
Sarajevo Film Festival - Official,11,1.5943319171379118,1.9459101490553132,2.3702437414678603,100,1,0.0,2,59,2018-07-31,2.0.1,21
Summer Madness,11,1.5907751816117055,1.6094379124341003,0.8754687373538999,100,1,0.0,1,59,2018-07-26,1.107,13
AAS-IN-ASIA 2018,11,1.5907523060971538,1.3862943611198906,2.4849066497880004,100,1,0.0,1,59,2018-07-04,1.1.9,17
Moot Peru 2018,11,1.5975925313251575,2.639057329615259,3.332204510175204,1000,1,0.0,1,59,2018-06-28,1.0,10
FM News,11,1.6092643250276486,3.8501476017100584,1.5260563034950494,5000,1,0.0,1,59,2018-07-04,1.4,18
Rockmaraton Info,11,1.6105728642901347,3.912023005428146,2.639057329615259,1000,1,0.0,1,59,2018-07-08,18.4,20
mobLee Events,11,1.5988928494723782,2.4849066497880004,2.4849066497880004,5000,1,0.0,1,59,2018-05-30,3.05.30.16,17
AMM Events & CPD,11,1.5944230314001413,1.791759469228055,1.9600947840472698,100,1,0.0,1,59,2018-08-04,1.0.5,19
MeAuDote - An act of love that saves a life,11,1.6215012465911869,5.5254529391317835,3.1780538303479458,1000,1,0.0,1,59,2018-06-22,1.0.11,17
TCF National Conference,11,1.5857361084720831,0.6931471805599453,3.5553480614894135,100,1,0.0,1,59,2018-07-11,1.0,17
Easy and Fast Recipes,14,1.6099794402609122,4.564348191467836,2.5649493574615367,50000,1,0.0,1,62,2018-01-06,3.0.1,8
Sumine side dish - dish recipe side dish,14,1.612077059819927,4.418840607796598,1.7749523509116738,10000,1,0.0,1,62,2018-06-23,1.1,17
Latest 2018 Home Designs,17,1.6131989650602983,5.1647859739235145,2.272125885509337,10000,1,0.0,1,66,2018-07-26,1.1,8
Yes319 real price login query,17,1.5964200612539807,2.5649493574615367,1.8082887711792655,5000,1,0.0,1,66,2018-07-12,1.04,15
LH Housing Promotion Notice,17,1.614293622595309,5.081404364984463,1.410986973710262,100000,1,0.0,1,66,2017-09-19,1.2.0,13
Home tips and advice,17,1.5951230506979528,2.3978952727983707,1.2809338454620645,5000,1,0.0,1,66,2017-12-28,2.0,15
Real estate court auction information site - Hyundai court auction,17,1.596614230596778,2.3978952727983707,1.6486586255873816,10000,1,0.0,1,66,2018-08-02,1.2,19
Lamp detector,18,1.588072845482845,1.791759469228055,1.0296194171811583,1000,1,0.0,1,67,2018-04-23,4.4.2,9
General culture,18,1.6008213089435395,3.295836866004329,2.3978952727983707,10000,1,0.0,1,67,2018-02-20,1.2,13
Luffs,18,1.622895574057974,6.1903154058531475,1.547562508716013,100000,1,0.0,1,67,2018-01-16,1.0,15
Words (188 Category),18,1.6067662847962776,4.007333185232471,1.9315214116032138,10000,1,0.0,1,67,2018-07-04,1.0,15
Cold Spirits,18,1.618152431217179,5.8971538676367405,1.252762968495368,100000,1,0.0,1,67,2017-01-02,1.2,8
How to sew & make the easiest pattern,18,1.6112968050411802,4.709530201312334,2.3978952727983707,10000,1,0.0,1,67,2017-11-05,1.0,13
I will return his eggs,18,1.6081506475347154,4.5217885770490405,2.9444389791664403,100000,1,0.0,1,67,2017-11-16,6.0,8
Benefits of olive oil with garlic,18,1.6011383116641535,3.258096538021482,1.252762968495368,10000,1,0.0,1,67,2018-06-23,1.0,15
Sad hair without net,18,1.597004562189661,3.044522437723423,1.1314021114911006,5000,1,0.0,1,67,2018-03-26,1.0,8
Patience Words,18,1.6027025853318795,3.4657359027997265,1.4816045409242156,10000,1,0.0,1,67,2017-12-14,1.0,15
Mama Lala 's song,18,1.6090059761974,4.634728988229636,3.091042453358316,50000,1,0.0,1,67,2018-07-01,6.0.0,8
Young Speeches,18,1.6315379893260162,7.706162970199575,1.2237754316221157,500000,1,0.0,1,67,2017-01-08,1.1,8
Mcqueen Coloring pages,12,1.6177216382584927,4.189654742026425,2.0794415416798357,100000,1,0.0,1,10,2018-03-07,1.0.0,17
Arrhythmias and Dysrhythmias,21,1.624193992701915,1.3862943611198906,3.2188758248682006,500,2,1.0,1,72,2016-01-24,1.0,18
Advanced Comprehension Therapy,21,1.6181537274599966,1.3862943611198906,4.143134726391533,100,2,24.99,1,72,2017-10-05,1.2,15
Number Therapy,21,1.60973073071419,0.0,1.840549633397487,50,2,14.99,1,72,2017-10-03,1.0,15
Free Blood Pressure,21,1.591146950587968,2.0794415416798357,1.9021075263969205,5000,1,0.0,1,72,2016-10-13,3.0.0,15
Language Therapy: Aphasia,21,1.615024287576369,2.3978952727983707,3.367295829986474,1000,2,74.99,1,72,2018-06-25,3.1.1,15
Advanced Comprehension Therapy,21,1.6181537274599966,1.3862943611198906,4.143134726391533,100,2,24.99,1,72,2017-10-05,1.2,15
Visualmed,21,1.6129368470760417,0.0,1.410986973710262,1,2,2.99,1,72,2018-08-01,1.0,17
ABG Master,21,1.6214563540390459,1.0986122886681096,1.0296194171811583,50,2,0.99,1,72,2018-08-04,1.1,17
OrthoFlow,21,1.612980359525367,0.0,4.204692619390966,10,2,5.99,1,72,2018-07-15,1.0.0,18
Be the Expert in Phlebotomy - Professional Nursing,21,1.6126760095822579,0.0,1.791759469228055,1,2,0.99,1,72,2018-07-24,1.0,15
Penn State Health OnDemand,21,1.5759415783385176,0.0,3.713572066704308,50,1,0.0,1,72,2018-07-24,10.4.1.018_06,15
Breastfeeding Tracker Baby Log,21,1.5939261175740413,1.9459101490553132,3.1780538303479458,100,1,0.0,1,72,2018-07-20,1.3.5,25
Lego Ninjago Wallpaper,21,1.5821641158982285,1.0986122886681096,2.772588722239781,100,1,0.0,1,72,2018-08-02,1.2,10
RT 516 VET,21,1.5759065509260795,0.0,3.4011973816621555,10,1,0.0,1,72,2018-07-13,300000.1.11,15
EXOGEN Connects (US),21,1.5765679303761864,0.0,2.833213344056216,10,1,0.0,1,72,2018-08-01,1.0.1,17
Full Code - Emergency Medicine Simulation,21,1.5796203228674148,0.0,4.189654742026425,100,1,0.0,1,72,2018-07-23,2.0,25
Maricopa AH,21,1.5759065473294118,0.0,3.4011973816621555,100,1,0.0,1,72,2018-07-16,300000.1.11,15
Dare EMS Protocols,21,1.5745871870727692,0.0,3.044522437723423,10,1,0.0,2,72,2018-07-26,1.8.3,17
Pediatric Emergency Guide,21,1.5775137255007219,0.0,1.5686159179138452,100,1,0.0,1,72,2018-07-09,3.1.1,20
